date,close,company,price_change,volume_change,high_low_ratio,target,headline,news_count_log,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded
2023-08-30,185.31,Apple,0.0192,0.37134045190852405,0.0,1,Apple market update,0.6931471805599453,17.92332895567185,2,8,3,0,0,0
2023-08-31,185.52,Apple,0.0012,0.017553927304328424,0.0,1,Apple market update,0.6931471805599453,17.923009898767134,3,8,3,0,0,0
2023-09-01,187.09,Apple,0.0085,-0.7362423660173624,0.0,1,Apple market update,0.6931471805599453,17.639062962252904,4,9,3,0,1,0
2023-09-05,187.33,Apple,0.0013,-0.009643011835768265,0.0,0,Apple market update,0.6931471805599453,17.628376013944006,1,9,3,0,0,0
2023-09-06,180.62,Apple,-0.0358,1.4388112035190326,0.0,0,Apple market update,0.6931471805599453,18.219247325468725,2,9,3,0,0,0
2023-09-07,175.34,Apple,-0.0292,0.8164447282829316,0.0,1,Apple market update,0.6931471805599453,18.538364227986985,3,9,3,0,0,0
2023-09-08,175.95,Apple,0.0035,-1.3836343325728848,0.0,1,Apple market update,0.6931471805599453,17.998343615421724,4,9,3,0,1,0
2023-09-11,177.12,Apple,0.0066,-0.26311271643650946,0.0,0,Apple market update,0.6931471805599453,17.89225278746573,0,9,3,1,0,0
2023-09-12,174.1,Apple,-0.0171,1.0699338340055906,0.0,0,Apple market update,0.6931471805599453,18.31942513606511,1,9,3,0,0,0
2023-09-13,172.03,Apple,-0.0119,-0.1664436012771079,0.0,1,Apple market update,0.6931471805599453,18.249511579404626,2,9,3,0,0,0
2023-09-14,173.54,Apple,0.0088,-0.8433826994684174,0.0,0,Apple market update,0.6931471805599453,17.924674781206146,3,9,3,0,0,0
2023-09-15,172.82,Apple,-0.0042,1.4248740496104024,0.0,1,Apple market update,0.6931471805599453,18.509236353833735,4,9,3,0,1,0
2023-09-18,175.75,Apple,0.0169,-1.2500191200451625,0.0,1,Apple market update,0.6931471805599453,18.02404059608157,0,9,3,1,0,0
2023-09-19,176.83,Apple,0.0062,-0.6746479715017413,0.0,0,Apple market update,0.6931471805599453,17.763419896751827,1,9,3,0,0,0
2023-09-20,173.3,Apple,-0.02,0.32741506442617263,0.0,0,Apple market update,0.6931471805599453,17.88344613588911,2,9,3,0,0,0
2023-09-21,171.76,Apple,-0.0089,0.21948826301780558,0.0,1,Apple market update,0.6931471805599453,17.961009170713282,3,9,3,0,0,0
2023-09-22,172.61,Apple,0.0049,-0.2660841528417018,0.0,1,Apple market update,0.6931471805599453,17.85373265779867,4,9,3,0,1,0
2023-09-25,173.88,Apple,0.0074,-0.5292655936428404,0.0,0,Apple market update,0.6931471805599453,17.64789929396329,0,9,3,1,0,0
2023-09-26,169.81,Apple,-0.0234,0.8558687869592927,0.0,0,Apple market update,0.6931471805599453,17.983553142846095,1,9,3,0,0,0
2023-09-27,168.3,Apple,-0.0089,0.11083334941592034,0.0,1,Apple market update,0.6931471805599453,18.019035346452377,2,9,3,0,0,0
2023-09-28,168.56,Apple,0.0015,-0.4415935227321901,0.0,1,Apple market update,0.6931471805599453,17.84610563878617,3,9,3,0,0,0
2023-09-29,169.07,Apple,0.003,-0.19891484158836895,0.0,1,Apple market update,0.6931471805599453,17.764079568084682,4,9,3,0,1,0
2023-10-02,171.58,Apple,0.0148,0.03375094996509351,0.0,0,Apple market update,0.6931471805599453,17.76991276403763,0,10,4,1,0,0
2023-10-03,170.25,Apple,-0.0078,-0.11507586151498811,0.0,1,Apple market update,0.6931471805599453,17.719392534964026,1,10,4,0,0,0
2023-10-04,171.49,Apple,0.0073,0.19179579689646634,0.0,1,Apple market update,0.6931471805599453,17.786185435912017,2,10,4,0,0,0
2023-10-05,172.72,Apple,0.0072,-0.2160454142628845,0.0,1,Apple market update,0.6931471805599453,17.69764946884907,3,10,4,0,0,0
2023-10-06,175.27,Apple,0.0148,0.441982453730511,0.0,1,Apple market update,0.6931471805599453,17.863229878380483,4,10,4,0,1,0
